,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Port Alfred,81,ZA,1593293617,71,-33.59,26.89,61.141999999999996,12.37
1,Butaritari,46,KI,1593293617,75,3.07,172.79,83.10199999999998,7.81
2,Kuvshinovo,1,RU,1593293617,63,57.03,34.17,62.780000000000044,1.49
3,Mayo,75,US,1593293617,55,38.89,-76.51,90.26600000000002,3.6
4,Bredasdorp,68,ZA,1593293524,82,-34.53,20.04,55.66999999999996,8.7
5,Guerrero Negro,0,MX,1593293617,45,27.98,-114.06,80.41999999999996,6.87
6,Dingle,100,PH,1593293617,88,11.0,122.67,77.46799999999999,2.16
7,Shimoda,100,JP,1593293618,93,34.67,138.95,69.27799999999996,2.67
8,Sinjār,0,IQ,1593293618,24,36.32,41.88,83.87599999999999,6.23
9,Rikitea,0,PF,1593293527,75,-23.12,-134.97,70.808,7.67
10,Atambua,55,ID,1593293618,86,-9.11,124.89,68.558,2.42
11,Phang Nga,40,TH,1593293618,94,8.45,98.53,77.26999999999995,0.21
12,Kavieng,79,PG,1593293540,78,-2.57,150.8,82.99399999999997,5.04
13,Hermanus,47,ZA,1593293618,86,-34.42,19.23,54.266000000000005,0.89
14,Carnarvon,90,AU,1593293618,100,-24.87,113.63,62.86999999999996,3.1
15,Tainan City,40,TW,1593293618,83,22.99,120.21,78.27799999999996,2.6
16,Hobart,20,AU,1593293505,93,-42.88,147.33,39.272000000000034,4.1
17,Busselton,100,AU,1593293618,69,-33.65,115.33,62.27599999999999,9.9
18,Okaihau,1,NZ,1593293618,3,-35.32,173.78,55.274000000000015,2.24
19,Atuona,10,PF,1593293619,75,-9.8,-139.03,80.20399999999995,4.34
20,Kapaa,90,US,1593293619,74,22.08,-159.32,85.26199999999996,6.7
21,Esim,100,GH,1593293619,87,4.87,-2.24,77.16199999999995,5.06
22,Dikson,0,RU,1593293619,82,73.51,80.55,45.608000000000004,4.01
23,Lagoa,70,PT,1593293619,95,39.05,-27.98,67.226,5.33
24,Ridgecrest,1,US,1593293506,9,35.62,-117.67,108.266,5.1
25,Viedma,57,AR,1593293496,71,-40.81,-63.0,41.35999999999998,2.44
26,Barrow,1,US,1593293536,48,71.29,-156.79,61.069999999999965,5.7
27,Castro,100,BR,1593293619,97,-24.79,-50.01,52.26799999999999,2.47
28,Altay,49,CN,1593293619,40,47.87,88.12,63.158,2.38
29,Punta Arenas,0,CL,1593293324,59,-53.15,-70.92,37.66999999999996,3.1
30,Iqaluit,20,CA,1593293412,75,63.75,-68.51,41.26999999999996,3.6
31,Tiksi,69,RU,1593293536,78,71.69,128.87,49.73000000000005,4.75
32,Nome,90,US,1593293619,93,64.5,-165.41,44.86999999999996,8.7
33,Port Elizabeth,90,ZA,1593293619,82,-33.92,25.57,57.469999999999956,9.8
34,Pine Bluff,20,US,1593293620,58,34.23,-92.0,88.06999999999996,3.6
35,Esperance,90,AU,1593293620,58,-33.87,121.9,55.66999999999996,6.2
36,George Town,20,MY,1593293620,94,5.41,100.34,82.66999999999996,2.1
37,Rio Grande,75,BR,1593293438,58,-32.03,-52.1,55.66999999999996,2.6
38,Constitución,100,CL,1593293620,84,-35.33,-72.42,53.94199999999999,1.19
39,Ghanzi,0,BW,1593293620,52,-21.57,21.78,47.56999999999996,1.58
40,Mataura,100,NZ,1593293620,92,-46.19,168.86,43.285999999999966,1.03
41,Bengkulu,83,ID,1593293620,85,-3.8,102.27,76.26199999999996,1.92
42,Kangaba,92,ML,1593293620,81,11.93,-8.42,75.39800000000002,5.75
43,Agadez,26,NE,1593293588,13,19.75,10.25,87.08000000000004,4.95
44,Gadung,96,PH,1593293620,84,6.8,124.02,77.39600000000004,2.0
45,Coyhaique,75,CL,1593293620,59,-45.58,-72.07,34.06999999999996,2.6
46,Ancud,90,CL,1593293620,100,-41.87,-73.82,48.272000000000034,2.6
47,Ribeira Grande,40,PT,1593293620,88,38.52,-28.7,70.06999999999996,4.1
48,Safaga,0,EG,1593293621,42,26.73,33.94,86.26999999999995,4.04
49,Jamestown,90,US,1593293592,78,42.1,-79.24,75.27200000000005,3.6
50,East London,17,ZA,1593293621,30,-33.02,27.91,66.542,6.48
51,Khatanga,98,RU,1593293621,46,71.97,102.5,72.19399999999997,4.44
52,Zyryanka,4,RU,1593293621,34,65.75,150.85,67.51400000000004,4.5
53,Port Hardy,40,CA,1593293402,67,50.7,-127.42,61.069999999999965,7.7
54,Valença,36,BR,1593293621,92,-13.37,-39.07,70.41199999999995,1.14
55,Atar,8,MR,1593293621,9,20.52,-13.05,100.77799999999996,5.29
56,Saint-Philippe,75,RE,1593293527,77,-21.36,55.77,70.06999999999996,2.1
57,Upernavik,40,GL,1593293528,81,72.79,-56.15,39.74000000000002,3.42
58,Ilulissat,75,GL,1593293573,86,69.22,-51.1,37.66999999999996,2.1
59,Mahanje,1,TZ,1593293621,86,-9.93,35.33,58.58599999999997,1.03
60,Emerald,88,AU,1593293621,76,-23.53,148.17,52.069999999999965,2.1
61,San Patricio,40,MX,1593293536,59,19.22,-104.7,91.66999999999996,4.1
62,Abapó,0,BO,1593293622,44,-18.83,-63.47,59.377999999999965,1.66
63,Laguna de Perlas,75,NI,1593293622,100,12.34,-83.67,75.46999999999997,2.1
64,Coahuayana Viejo,40,MX,1593293622,62,18.73,-103.68,84.46999999999997,2.96
65,Hellín,0,ES,1593293622,36,38.51,-1.7,77.26999999999995,2.6
66,Tabuk,100,PH,1593293622,85,17.42,121.44,75.2,1.19
67,Saint-Louis,16,SN,1593293622,48,16.33,-15.0,86.26999999999995,3.1
68,Nuuk,40,GL,1593293622,75,64.18,-51.72,44.86999999999996,4.6
69,Ushuaia,40,AR,1593293622,64,-54.8,-68.3,37.66999999999996,8.7
70,Sioux Lookout,20,CA,1593293457,42,50.1,-91.92,82.66999999999996,2.1
71,Pacifica,20,US,1593293465,60,37.61,-122.49,72.26600000000002,3.6
72,Katherine,0,AU,1593293622,63,-14.47,132.27,61.069999999999965,1.5
73,Jizan,100,SA,1593293622,59,17.33,42.67,91.66999999999996,2.61
74,Cape Town,75,ZA,1593293507,62,-33.93,18.42,60.27799999999996,2.6
75,Mar del Plata,90,AR,1593293495,93,-38.0,-57.56,44.27599999999999,2.1
76,Vaini,20,TO,1593293623,83,-21.2,-175.2,79.06999999999996,3.1
77,Tuktoyaktuk,90,CA,1593293540,86,69.45,-133.04,39.469999999999956,8.7
78,Airai,23,TL,1593293623,98,-8.93,125.41,55.66999999999996,1.55
79,Mackenzie,90,CA,1593293589,81,55.3,-123.17,52.069999999999965,1.5
80,Verkhnyaya Inta,98,RU,1593293623,88,65.98,60.31,42.15199999999997,1.81
81,Saskylakh,24,RU,1593293557,62,71.92,114.08,52.86199999999995,1.37
82,Severobaykal'sk,37,RU,1593293623,63,55.65,109.32,59.88200000000002,0.33
83,Beringovskiy,28,RU,1593293579,62,63.05,179.32,42.35,9.66
84,Goderich,35,CA,1593293574,76,43.75,-81.72,80.27599999999998,0.89
85,Yellowknife,75,CA,1593293623,67,62.46,-114.35,74.26400000000004,3.1
86,Kaitangata,99,NZ,1593293623,92,-46.28,169.85,49.26199999999996,1.79
87,Ambulu,84,ID,1593293624,90,-8.35,113.61,72.40999999999998,1.01
